iter	MultiClass
0	1.095123136
1	1.091877153
2	1.088602905
3	1.085422328
4	1.082439562
5	1.079750733
6	1.077643806
7	1.075219141
8	1.073125035
9	1.070805514
10	1.068741828
11	1.066673438
12	1.064868347
13	1.062578439
14	1.060319362
15	1.058531745
16	1.056777057
17	1.055196887
18	1.053705338
19	1.052204446
20	1.050833297
21	1.049601878
22	1.048396549
23	1.047214876
24	1.04612479
25	1.045313852
26	1.04395068
27	1.042938178
28	1.041879599
29	1.040891995
30	1.040077914
31	1.039058375
32	1.038247121
33	1.03719627
34	1.036398873
35	1.035272888
36	1.034611275
37	1.033692233
38	1.032855738
39	1.032154158
40	1.031409105
41	1.030849723
42	1.030182383
43	1.029774944
44	1.028968406
45	1.02842549
46	1.027818121
47	1.027304058
48	1.026806506
49	1.026380453
50	1.025632166
51	1.025257847
52	1.025088796
53	1.02439116
54	1.023986683
55	1.023521595
56	1.022994234
57	1.02272653
58	1.022239726
59	1.021928002
60	1.021396202
61	1.020964955
62	1.020213913
63	1.019691366
64	1.019327872
65	1.018887408
66	1.018637096
67	1.01821276
68	1.01771354
69	1.017449985
70	1.017029434
71	1.01668839
72	1.016336398
73	1.015715925
74	1.015367504
75	1.015088006
76	1.014800331
77	1.014445607
78	1.014192051
79	1.013686613
80	1.013357141
81	1.013091005
82	1.012891898
83	1.012590076
84	1.012340103
85	1.012106924
86	1.011714309
87	1.011350376
88	1.011019086
89	1.010784998
90	1.010574683
91	1.010380988
92	1.010136245
93	1.009766915
94	1.009202497
95	1.008947207
96	1.008812235
97	1.008613285
98	1.008484902
99	1.008165561
100	1.00787198
101	1.007687583
102	1.007452634
103	1.007305616
104	1.007057156
105	1.006868643
106	1.006662137
107	1.006449899
108	1.006205787
109	1.005662832
110	1.005516066
111	1.005077481
112	1.004938554
113	1.004786621
114	1.004409012
115	1.004225215
116	1.003855857
117	1.003694584
118	1.003445428
119	1.003179037
120	1.002816701
121	1.002674748
122	1.002591301
123	1.002264667
124	1.0021213
125	1.002019394
126	1.001705516
127	1.001511768
128	1.001151875
129	1.000973448
130	1.000798225
131	1.000627172
132	1.000515891
133	1.000402646
134	1.000281143
135	1.000151535
136	0.9999929483
137	0.9997931095
138	0.9996381496
139	0.9995241196
140	0.9993880014
141	0.999168814
142	0.9990388269
143	0.9987626739
144	0.9985476621
145	0.998214351
146	0.9980700178
147	0.997888957
148	0.9977295241
149	0.9976449478
150	0.9974603044
151	0.9972490646
152	0.9970317873
153	0.9969121906
154	0.9966474308
155	0.9964234805
156	0.9962532876
157	0.9960837341
158	0.9957869483
159	0.9954826501
160	0.9952539506
161	0.995162551
162	0.9950122885
163	0.9948775171
164	0.9947161149
165	0.9946185178
166	0.9944801231
167	0.9943203624
168	0.9941133246
169	0.9938930881
170	0.9937531595
171	0.9936202023
172	0.9935097827
173	0.9934009536
174	0.9931492792
175	0.992989294
176	0.9928896828
177	0.9926807215
178	0.9925707449
179	0.9924298819
180	0.9922036671
181	0.9920001767
182	0.9919119302
183	0.991738634
184	0.9915844207
185	0.9913581494
186	0.9912723037
187	0.991146948
188	0.991035854
189	0.9908116823
190	0.990689829
191	0.9904597121
192	0.9902303664
193	0.9901742017
194	0.9900585652
195	0.9899696997
196	0.9897970727
197	0.9895270341
198	0.9893957636
199	0.9893158968
200	0.989026554
201	0.9888036998
202	0.9886077695
203	0.988388482
204	0.988309202
205	0.9880268258
206	0.9878473782
207	0.9877021288
208	0.9875152851
209	0.9874273455
210	0.9871300405
211	0.9870233383
212	0.9868965566
213	0.9867818966
214	0.9866724105
215	0.9865441845
216	0.9864343179
217	0.9863915173
218	0.9862273526
219	0.985984399
220	0.9858985087
221	0.9857958604
222	0.9856876059
223	0.985571312
224	0.9854632358
225	0.9854026538
226	0.9852405802
227	0.9849473001
228	0.9847879967
229	0.9846645944
230	0.9844633809
231	0.9842897769
232	0.9841455782
233	0.9839397641
234	0.9838303649
235	0.9837530722
236	0.9836103079
237	0.9833566655
238	0.9832719996
239	0.9830841702
240	0.9829841835
241	0.9827766927
242	0.9826678989
243	0.9825522574
244	0.9824508844
245	0.9823357485
246	0.9821790137
247	0.9819766955
248	0.9818022163
249	0.9815967604
250	0.9814456572
251	0.9813407021
252	0.9811664314
253	0.9809954928
254	0.9808367755
255	0.9807451375
256	0.9806695166
257	0.9804876323
258	0.9803963779
259	0.9802868288
260	0.980171889
261	0.9801097285
262	0.9798748918
263	0.9797948248
264	0.979641193
265	0.9795406724
266	0.9794601964
267	0.9793047347
268	0.9792051739
269	0.979141894
270	0.978996976
271	0.9788187289
272	0.9785420585
273	0.9784088805
274	0.9782770766
275	0.9781488147
276	0.9780548892
277	0.9779928694
278	0.977803741
279	0.9777408462
280	0.9775910929
281	0.9773742358
282	0.9772012836
283	0.9771883564
284	0.9768799595
285	0.9767512329
286	0.9766836462
287	0.9765213033
288	0.9763176674
289	0.9760851155
290	0.9759479498
291	0.9756942935
292	0.9753370889
293	0.97519071
294	0.9749603697
295	0.9747933856
296	0.9745022108
297	0.9744091297
298	0.9743040768
299	0.9741656084
300	0.9739613632
301	0.9737802206
302	0.9735744734
303	0.973462131
304	0.9732711291
305	0.9731229713
306	0.9730426448
307	0.972949528
308	0.9728176541
309	0.9726700204
310	0.9724687549
311	0.9722180745
312	0.9720045107
313	0.971895955
314	0.9716758341
315	0.9715289103
316	0.9713372904
317	0.9712529331
318	0.970960636
319	0.9707552944
320	0.9706473933
321	0.9704682592
322	0.9704125165
323	0.9702029688
324	0.9700366389
325	0.9698869354
326	0.9696575023
327	0.9695193523
328	0.9693791377
329	0.9691898298
330	0.9690455776
331	0.9689372231
332	0.9686975929
333	0.9685439121
334	0.968428476
335	0.9682842738
336	0.968080613
337	0.9679936796
338	0.9678065874
339	0.9677067459
340	0.9675251249
341	0.9673891596
342	0.9673268393
343	0.9671763426
344	0.9670217107
345	0.9669053519
346	0.9666694753
347	0.9665301655
348	0.966152744
349	0.9659931053
350	0.9658619264
351	0.9657852184
352	0.9655382324
353	0.9654159798
354	0.9653186865
355	0.9650739287
356	0.9649237048
357	0.9647929732
358	0.9646003076
359	0.9644209082
360	0.9641631387
361	0.9639682
362	0.9637566419
363	0.9636025654
364	0.9634413535
365	0.9632583883
366	0.9630828584
367	0.9628220437
368	0.9627231177
369	0.9625690602
370	0.9623836929
371	0.9620882483
372	0.9619279503
373	0.9617775072
374	0.9615908736
375	0.9613291837
376	0.9611508343
377	0.9609117948
378	0.9607519138
379	0.9605936046
380	0.9604069625
381	0.9603060373
382	0.9600215468
383	0.9598564924
384	0.9597975758
385	0.9597154034
386	0.9595758701
387	0.9594830463
388	0.9594202627
389	0.9591738522
390	0.9590301564
391	0.9588184646
392	0.9586792299
393	0.9585310747
394	0.958375825
395	0.9583470725
396	0.9583060347
397	0.9582825934
398	0.9580793926
399	0.9580396565
400	0.9578820752
401	0.9576331963
402	0.9574100796
403	0.9573922655
404	0.9573742655
405	0.9571515505
406	0.9570196694
407	0.9568460126
408	0.956678093
409	0.9565070176
410	0.9564063244
411	0.9562330625
412	0.956205399
413	0.9561899185
414	0.9560094157
415	0.9558994297
416	0.9557140626
417	0.9555322691
418	0.9552989716
419	0.9550744478
420	0.9549275603
421	0.9547384973
422	0.9544582886
423	0.9542307158
424	0.9540636056
425	0.9538111163
426	0.9537829848
427	0.9535290626
428	0.9533402645
429	0.9531902969
430	0.9530426671
431	0.9528623845
432	0.9526751418
433	0.9526590941
434	0.952442385
435	0.9523970252
436	0.9523819001
437	0.9523723132
438	0.9522198477
439	0.9520026143
440	0.9517919527
441	0.9516415936
442	0.951505516
443	0.9513626009
444	0.9512169154
445	0.9512029817
446	0.9510670053
447	0.9509788408
448	0.9509697665
449	0.9507106051
450	0.9505394994
451	0.9502846747
452	0.9501486013
453	0.9500108333
454	0.9498499467
455	0.9496726296
456	0.949540947
457	0.9493935136
458	0.949228961
459	0.9492173959
460	0.9491872738
461	0.9490328634
462	0.9488839186
463	0.9488592326
464	0.9488465057
465	0.9485494885
466	0.9484346441
467	0.9483077652
468	0.9481419986
469	0.9480180211
470	0.9478291595
471	0.9476964524
472	0.947574182
473	0.9474965385
474	0.9474801729
475	0.9472453107
476	0.9472344526
477	0.947054609
478	0.9468525823
479	0.9466286983
480	0.9464426095
481	0.9462298902
482	0.9461878934
483	0.9460215695
484	0.9458227119
485	0.9456115197
486	0.9454559248
487	0.9451157912
488	0.9449193224
489	0.9447112804
490	0.9445335963
491	0.9444274167
492	0.9442653027
493	0.9441362105
494	0.9439740326
495	0.9438174845
496	0.9437981327
497	0.943659549
498	0.943523352
499	0.9433694198
500	0.9431677944
501	0.9430413516
502	0.9428891614
503	0.9426280459
504	0.9424064204
505	0.9422841756
506	0.9421308379
507	0.9419171584
508	0.9417872484
509	0.9417794073
510	0.9416457005
511	0.9414125087
512	0.9412687078
513	0.9411464575
514	0.9410001216
515	0.9409736831
516	0.9409620939
517	0.9408322445
518	0.9408038957
519	0.9406668348
520	0.9404779186
521	0.9402870026
522	0.9401484901
523	0.939961409
524	0.9398520778
525	0.9398300397
526	0.9396770852
527	0.9396472967
528	0.9395252309
529	0.9393748586
530	0.9391710776
531	0.9390539776
532	0.938880986
533	0.9386101333
534	0.9384384896
535	0.9384285992
536	0.9382940891
537	0.9381028512
538	0.9378985528
539	0.9378794964
540	0.9376980018
541	0.9373886105
542	0.9371568023
543	0.9371324023
544	0.9369527007
545	0.9369340177
546	0.9367919944
547	0.9365376446
548	0.9363163611
549	0.9360544046
550	0.9358657074
551	0.935754326
552	0.9357421256
553	0.9356115605
554	0.9353873914
555	0.9352997546
556	0.9351866543
557	0.9349863945
558	0.9348056948
559	0.9346639478
560	0.9345146762
561	0.9343253188
562	0.9341681829
563	0.9340363931
564	0.9338948934
565	0.9338849321
566	0.933791052
567	0.9336592413
568	0.9335493557
569	0.933433398
570	0.9334237357
571	0.9332293204
572	0.9330375248
573	0.932882218
574	0.9326418
575	0.9325138186
576	0.9323409814
577	0.9322350695
578	0.9319863072
579	0.9319771416
580	0.9318712618
581	0.9317244713
582	0.9315880755
583	0.9313507987
584	0.9312157401
585	0.9310629557
586	0.9309330615
587	0.9307827287
588	0.9305905641
589	0.9304579483
590	0.9303114271
591	0.9300811775
592	0.9299497181
593	0.9298585677
594	0.9297435147
595	0.9296473219
596	0.9294405912
597	0.929269084
598	0.9290710529
599	0.9289068352
600	0.9287429503
601	0.9286222593
602	0.9285110168
603	0.9282618581
604	0.9282196678
605	0.9280513439
606	0.9278854875
607	0.9277471784
608	0.9275907697
609	0.9274098102
610	0.9271941455
611	0.9270293902
612	0.9269186296
613	0.926749603
614	0.9265629433
615	0.9264750848
616	0.9263960541
617	0.9262966537
618	0.9260954981
619	0.9260723729
620	0.925881337
621	0.9257777642
622	0.9256452339
623	0.9256258436
624	0.9254230037
625	0.9254092867
626	0.9253023857
627	0.9251618772
628	0.925140731
629	0.924952824
630	0.9248352251
631	0.9246316794
632	0.924508175
633	0.9243563277
634	0.9242563921
635	0.9240449886
636	0.9238976065
637	0.9238025015
638	0.9237130161
639	0.9235801022
640	0.9233784551
641	0.9232385605
642	0.9230665078
643	0.9230436145
644	0.9228941575
645	0.9227540721
646	0.922658507
647	0.9226372136
648	0.9224952159
649	0.9223565664
650	0.9222055455
651	0.9220327275
652	0.9218668036
653	0.9218510058
654	0.9218456085
655	0.9217049421
656	0.9215484086
657	0.9214147757
658	0.9212397363
659	0.9211120091
660	0.9209151645
661	0.9207333479
662	0.9206462934
663	0.9204397936
664	0.9203216816
665	0.9201803733
666	0.9200201882
667	0.9198726826
668	0.9196935058
669	0.9195185729
670	0.9194156977
671	0.9192866347
672	0.9190501088
673	0.9188274184
674	0.9186628493
675	0.9185081129
676	0.9183139779
677	0.9181075425
678	0.91793452
679	0.9177639649
680	0.9176391799
681	0.9174318167
682	0.9172466646
683	0.9170450689
684	0.9168947839
685	0.9166523677
686	0.9165152815
687	0.9164054467
688	0.9162107132
689	0.9160480205
690	0.915876448
691	0.9157042626
692	0.9155771158
693	0.9154335139
694	0.9152859728
695	0.9151056384
696	0.9149757503
697	0.9148611564
698	0.9147290637
699	0.9146037809
700	0.9144931329
701	0.9143218763
702	0.9143051039
703	0.9141894109
704	0.9141736803
705	0.914035106
706	0.9139077615
707	0.9137873638
708	0.9136570798
709	0.9134962406
710	0.9133598661
711	0.9131802958
712	0.9131723076
713	0.9130531544
714	0.9129261369
715	0.9127647733
716	0.912556766
717	0.9124503761
718	0.9123121343
719	0.9122304407
720	0.9121007274
721	0.9119538444
722	0.9118573929
723	0.9116276371
724	0.9115110008
725	0.9113216883
726	0.9112135678
727	0.9111099196
728	0.9109499942
729	0.9107936938
730	0.9106341355
731	0.910544038
732	0.9104931666
733	0.9103577764
734	0.9102633106
735	0.9100632297
736	0.9099227401
737	0.9096686421
738	0.9095335582
739	0.9093664687
740	0.9092579943
741	0.9091315651
742	0.908968963
743	0.9088338344
744	0.9086608801
745	0.908571721
746	0.9084075361
747	0.9082813876
748	0.9081760502
749	0.9080287697
750	0.9079359537
751	0.9078106512
752	0.9076408268
753	0.9074815943
754	0.9073380139
755	0.9072199244
756	0.9070072658
757	0.9068331684
758	0.9066577092
759	0.9065231658
760	0.9063419704
761	0.9061393761
762	0.9060517188
763	0.9058595206
764	0.9057730834
765	0.9056702792
766	0.9055485235
767	0.9054752021
768	0.905310783
769	0.9051787885
770	0.9050742104
771	0.9049573582
772	0.9048172673
773	0.9046346047
774	0.9045147352
775	0.904459153
776	0.9043581725
777	0.9043340846
778	0.9042013468
779	0.9041802295
780	0.9040475805
781	0.903919123
782	0.9037937027
783	0.9036611496
784	0.9035555563
785	0.9034250368
786	0.9032951566
787	0.9031801837
788	0.9030814853
789	0.9029203068
790	0.90284006
791	0.9027182612
792	0.9025795839
793	0.9024878474
794	0.9024693236
